Cache Configuration	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
MSizeL1_16384_AssL1_2_MSizeLL_8388608_AssLL_4_Word_32.txt	128158187025	52359266943	20119603924	244574906	568754522	812910865	23191	431466	1665378	127913588928	51790080955	19305027681	0.810538347246 %	0.190838300445 %	1.9063009267 %	0.00105665175829 %	1.80956055468e-05 %	0.00289304175813 %
MSizeL1_32768_AssL1_2_MSizeLL_16777216_AssLL_2_Word_32.txt	128158187135	52359266972	20119603938	244574911	269027158	469470292	16417	241242	1314577	127913595807	52089998572	19648819069	0.489975466436 %	0.190838304183 %	1.01891412039 %	0.000783621936705 %	1.28099502396e-05 %	0.0021465828323 %
MSizeL1_32768_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32.txt	128158187052	52359266949	20119603926	244574907	189740643	426970311	44703	483859	1716820	127913567442	52169042447	19690916795	0.429275563497 %	0.190838301185 %	0.850883776961 %	0.00111912625873 %	3.48811114048e-05 %	0.00303630419932 %
MSizeL1_8192_AssL1_1_MSizeLL_16777216_AssLL_4_Word_32.txt	128158187206	52359266983	20119603954	244574906	1740910587	1407358394	17080	234395	1256836	127913595220	50618122001	18710988724	1.69103550381 %	0.190838300176 %	4.34370588324 %	0.000751760922912 %	1.33272796474e-05 %	0.00205746996431 %
MSizeL1_32768_AssL1_2_MSizeLL_16777216_AssLL_4_Word_32.txt	128158186972	52359266934	20119603913	244574902	281305166	467729781	17044	234383	1250698	127913595026	52077727385	19650623434	0.495227481803 %	0.190838297403 %	1.03345283701 %	0.000748677744943 %	1.32991893867e-05 %	0.00204898473534 %
MSizeL1_8192_AssL1_1_MSizeLL_8388608_AssLL_2_Word_32.txt	128158187095	52359266962	20119603936	244574908	1740910587	1407358394	26957	471851	1713884	127913585230	50617884524	18710531658	1.69103550607 %	0.190838301902 %	4.34370588558 %	0.00110283315661 %	2.10341614617e-05 %	0.00301568577562 %
MSizeL1_8192_AssL1_4_MSizeLL_16777216_AssLL_4_Word_32.txt	128158187158	52359266979	20119603952	244574905	892879760	1201237270	17048	237360	1253077	127913595205	51466149859	18917113605	1.16563308756 %	0.190838299467 %	2.88927932113 %	0.000751349234463 %	1.33023105102e-05 %	0.0020563744728 %
MSizeL1_32768_AssL1_4_MSizeLL_16777216_AssLL_1_Word_32.txt	128158187249	52359267028	20119603979	244574923	189740643	426970311	273671	772718	1734530	127913338655	52168753667	19690899138	0.429275570768 %	0.190838313377 %	0.850883775412 %	0.0013860445444 %	0.000213541565993 %	0.00345928125696 %
MSizeL1_8192_AssL1_1_MSizeLL_16777216_AssLL_1_Word_32.txt	128158187093	52359266965	20119603934	244574906	1554767689	1402989945	289027	817345	1751064	127913323160	50803681931	18714862925	1.59608228512 %	0.190838300344 %	4.08085500962 %	0.00142418156875 %	0.000225523633375 %	0.00354366585481 %
MSizeL1_32768_AssL1_2_MSizeLL_16777216_AssLL_1_Word_32.txt	128158186982	52359266936	20119603910	244574908	281305166	467729781	270503	731995	1678106	127913341571	52077229775	19650196023	0.495227484771 %	0.19083830207 %	1.03345283702 %	0.00133604630621 %	0.000211069621356 %	0.00332524633989 %
