../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_2_MSizeLL_8388608_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
InvTransf	12598095760	6620475540	1213268610	44996430	80565981	71976368	4658	1509	3224	435260064885	151772712561	-22308816641	0.966818357378 %	0.357168502742 %	1.94724701342 %	4.59625762602e-05 %	3.69738418308e-05 %	6.04181079874e-05 %
Transf	75938553340	32634259060	14116041310	533750260	1548286018	766991850	30324	9842	1353414	-850385691965	-55888774913310	-26404099729468	2.32215726356 %	0.702871251195 %	4.95243420829 %	0.00113586520524 %	3.99322855997e-05 %	0.00291603687936 %
Misc	19208860150	6510978610	3562263410	74591760	268163116	113564467	12758	54800	77051	1929929529363	-7556802049879	-3134592198110	1.55835581869 %	0.388319553672 %	3.78952061553 %	0.000493847740714 %	6.64172673463e-05 %	0.00130892318221 %
Inter/Intra	484792974210	167011612190	83194272150	135554320	1939595214	340825413	11473	504081	41059	61914952935192	-2286732321896	6352174774914	0.328704584898 %	0.0279612798063 %	0.911417664303 %	7.57297774718e-05 %	2.36657720106e-06 %	0.000217876570504 %
Inter	402892142440	205930451500	28546203070	441302100	3190353714	1908592735	32675	2074663	664964	83293962213257	-103539639644128	-70517017718837	0.869237492483 %	0.109533558368 %	2.17460730082 %	0.000434960420561 %	8.11011100939e-06 %	0.00116840075402 %
Intra	12633176000	4378030240	2234409100	102333820	177299614	108993022	6305	13171	402527	547929065263	-231468084002	-171839507612	2.01929867731 %	0.810040325568 %	4.3296069919 %	0.00219272282307 %	4.9908273264e-05 %	0.00628660587456 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_1_MSizeLL_8388608_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	84363144020	32822205940	21120554200	614790700	2133630831	970518292	50545	96234	139671	-363189251672736	-1704684442749996	-727855817365426	2.68892340178 %	0.728743229217 %	5.75452408246 %	0.000207113356252 %	5.99136039643e-05 %	0.000437324674132 %
InvQuant	6912561140	2619266220	382451300	23860460	22093839	35781175	648	0	5	70744586330	25388493832	1089430938	0.824421794091 %	0.345175391823 %	1.92806330424 %	6.58646001786e-06 %	9.37423896695e-06 %	1.66571303485e-07 %
