../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_2_MSizeLL_8388608_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Transf	280972647358	120746758522	52229352847	1974875962	3580330153	2198378647	112165	160131	9521812	-661505513987682	-2180343321066054	-1146451808778398	1.70803083232 %	0.702871251195 %	3.34075541083 %	0.00215753602399 %	3.9920255959e-05 %	0.0055972717408 %
Misc	71072782555	24090620857	13180374617	275989512	723005643	342026323	50420	197311	256750	-54096044272043	-342425129514610	-146413704645256	1.23774664535 %	0.388319553672 %	2.85753560498 %	0.000465629876655 %	7.09413620622e-05 %	0.00121826904333 %
Inter/Intra	1793734004577	617942965103	307818806955	501550984	4779206501	811544833	42430	2004942	203804	748988670277911	-584059100853624	-7471075149165	0.224023231451 %	0.0279612798063 %	0.60390820865 %	8.27791688202e-05 %	2.36545663358e-06 %	0.000238586866153 %
Inter	1490700927028	761942670550	105620951359	1632817770	7440744086	6002108047	123693	6412611	2783435	506568387503500	-4201493655805508	-3127029065907175	0.639269665899 %	0.109533558368 %	1.54949467607 %	0.000395194805612 %	8.2976402414e-06 %	0.00105998520083 %
Intra	46742751200	16198711888	8267313670	378635134	437356425	309959853	24026	47385	1461349	-2201143503969	-16136926588503	-10972059061468	1.58119751983 %	0.810040325568 %	3.05450624266 %	0.00215248747385 %	5.14004832476e-05 %	0.0061666493253 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_32768_AssL1_2_MSizeLL_8388608_AssLL_1_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	181380759643	70567742771	45409191530	1321800005	3246063294	1678181843	102077	247605	971235	-3954352290047372	-14486190072497359	-6583178776988438	2.10051573213 %	0.728743229217 %	4.2458831721 %	0.00044421820148 %	5.62777442331e-05 %	0.00105093310782 %
InvQuant	14862006451	5631422373	822270295	51299989	33629725	64666883	1380	5950	5	310034687464	108153722322	-6996867258	0.701814170696 %	0.345175391823 %	1.52310643002 %	3.44112569757e-05 %	9.28542188802e-06 %	9.22727546282e-05 %
Quant	458449032630	172794702651	102768229131	1049843753	4415957520	6156233022	56153	162563	1843997	34935031573460	-17060232728985	-33936906933014	1.58335760975 %	0.22899901151 %	3.83657935181 %	0.000281018988792 %	1.22484716955e-05 %	0.000728167604773 %
InvTransf	54171811768	28468044822	5217055023	193484649	156109265	263013640	19394	6915	126898	5348395811823	430616053522	-3684044748682	0.697278726002 %	0.357168502742 %	1.24423827428 %	0.000174382410202 %	3.58009070899e-05 %	0.000397246855778 %
Transf	326535779362	140327313958	60698977633	2295126118	3951856340	2424463973	128849	165938	10222945	-1085442336237146	-3259849958650304	-1751271900048202	1.64368268843 %	0.702871251195 %	3.1718837683 %	0.00199364825091 %	3.94593818331e-05 %	0.00516792252286 %
Misc	82598098645	27997208023	15317732663	320744568	786652700	380800879	57387	220379	294188	-96479257807010	-519952923768100	-225408082884000	1.18192536286 %	0.388319553672 %	2.69526763863 %	0.000454245249768 %	6.94773862128e-05 %	0.00118796653499 %
Inter/Intra	2084609789103	718149932417	357735370245	582883576	5215266213	878601134	48767	2251029	215239	993635259170743	-915893071341475	-31296839660000	0.211256487643 %	0.0279612798063 %	0.566404925499 %	7.95772474557e-05 %	2.33938266312e-06 %	0.000229231498367 %
Inter	1732436212492	885500941450	122748673201	1897599030	8526121791	6688114895	141376	7265193	3170039	513131724358770	-6350144091186222	-4812570652485985	0.62436327238 %	0.109533558368 %	1.50897520464 %	0.000385910996994 %	8.1605313362e-06 %	0.0010349849728 %
Intra	54322656800	18825530032	9607959130	440035426	480935297	341077188	27619	49923	1693572	-5741307424728	-24741537155364	-16965092482664	1.52502016174 %	0.810040325568 %	2.89100110196 %	0.00214016008045 %	5.0842505921e-05 %	0.00613183626556 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_4_MSizeLL_16777216_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	147635502035	57438860395	36960969850	1075883725	2932883527	1453278635	81644	147597	362503	-2096310762936185	-8263248879005867	-3679866091776432	2.25671427206 %	0.728743229217 %	4.6463665778 %	0.00024448661872 %	5.53010616516e-05 %	0.000540361141197 %
InvQuant	12096981995	4583715885	669289775	41755805	29147442	56042331	1116	0	5	208475635848	73268768052	-2062180701	0.73167532176 %	0.345175391823 %	1.62173388939 %	6.46109969811e-06 %	9.22544152303e-06 %	9.51836019914e-08 %
Quant	373156189350	140646850995	83648558595	854523985	4000180061	5590726767	43718	107372	584348	23920823622912	-8710460579132	-18719184513317	1.74833088262 %	0.22899901151 %	4.27601565522 %	0.000123095829236 %	1.17157376047e-05 %	0.000308396859866 %
InvTransf	44093335160	23171664390	4246440135	157487505	138590481	223067472	15625	5675	41379	3924555551341	540010904373	-1945372675080	0.725961413009 %	0.357168502742 %	1.31904797675 %	8.76489136229e-05 %	3.543619448e-05 %	0.000171616531541 %
Transf	265784936690	114219906710	49406144585	1868125910	3475738179	2119214409	102565	58278	4380940	-549476478182046	-1876721704942207	-979621564867804	1.73798032813 %	0.702871251195 %	3.41935317984 %	0.00105767740628 %	3.85894705988e-05 %	0.002713026419 %
Misc	67231010525	22788425135	12467921935	261071160	700239997	328627357	46710	161040	238903	-43223210470060	-293026139571916	-124722740563794	1.25863183935 %	0.388319553672 %	2.9182471796 %	0.000435812777772 %	6.94768673492e-05 %	0.00113438581486 %
Inter/Intra	1696775409735	584540642665	291179952525	474440120	4623060515	776900001	38922	1322788	119529	674350632005038	-492864321584872	-1751088700471	0.228354120852 %	0.0279612798063 %	0.61663052641 %	5.75798367486e-05 %	2.29388048511e-06 %	0.000164700591481 %
Inter	1410122498540	720756580250	99911710745	1544557350	7197050225	5745629403	112755	5877426	2069270	491352069553992	-3603871924502231	-2664738496758934	0.649421588343 %	0.109533558368 %	1.57709025315 %	0.000361282242952 %	7.99611382109e-06 %	0.000968320098047 %
Intra	44216116000	15323105840	7820431850	358168370	424694514	299119184	22551	40109	1374659	-1356043417900	-13746750775030	-9323525518627	1.60627617383 %	0.810040325568 %	3.12749808476 %	0.00213379808426 %	5.10017659624e-05 %	0.00611301530021 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_1_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	130762873231	50874419207	32736859010	952925585	2794339331	1336364287	75523	139176	340787	-1439012187413203	-5899695224622798	-2602008942699685	2.37138160952 %	0.728743229217 %	4.94036654634 %	0.000259119859483 %	5.77556902307e-05 %	0.000574040978963 %
InvQuant	10714469767	4059862641	592799515	36983713	28695334	51802079	996	0	5	164922206048	58238644350	-544367651	0.764496111497 %	0.345175391823 %	1.73013664653 %	6.51390256175e-06 %	9.2958403137e-06 %	1.07465357087e-07 %
Quant	330509767710	124572925167	74088723327	756864101	3792715501	5242954295	41702	104465	541476	19090779191478	-5726002867452	-13083137345345	1.8505409773 %	0.22899901151 %	4.54827082353 %	0.000129947117124 %	1.26174788385e-05 %	0.000325146300203 %
InvTransf	39054096856	20523474174	3761132691	139488933	135289505	199589028	14054	5137	41222	3231457203899	538634370168	-1328102391765	0.748937755483 %	0.357168502742 %	1.37897448726 %	9.53808594917e-05 %	3.59859813218e-05 %	0.000190898704919 %
Transf	235409515354	101166203086	43759728061	1654625806	3333363575	1933012137	92927	56149	3920201	-364382915601456	-1348335931630219	-694214609571025	1.8197098329 %	0.702871251195 %	3.63383948636 %	0.00106991789417 %	3.94746150597e-05 %	0.00274371188684 %
Misc	59547466465	20184033691	11043016571	231234456	652035337	299193493	43433	153139	215462	-25757929786271	-207977034835362	-87761889455542	1.30263793037 %	0.388319553672 %	3.04616933722 %	0.000453909329244 %	7.29384515889e-05 %	0.00118039006857 %
Inter/Intra	1502858220051	517735997789	257902243665	420218392	4363687411	728858309	36093	1213319	110108	535815605265215	-337527051809001	6739964336830	0.241947451099 %	0.0279612798063 %	0.656561970237 %	5.96674176576e-05 %	2.40162375389e-06 %	0.000170624258742 %
Inter	1248965641564	638384399650	88493229517	1368036510	6813027241	5198010103	104400	5481392	1916484	445666419829470	-2571769797209399	-1877556018251531	0.677132344057 %	0.109533558368 %	1.65241532578 %	0.000379699954502 %	8.35891689296e-06 %	0.00101776085866 %
Intra	39162845600	13571893744	6926668210	317234842	403481806	275770752	20200	39454	1222107	-97537427292	-9635078988876	-6511342873792	1.67023783188 %	0.810040325568 %	3.31365956073 %	0.00214839215592 %	5.15795001372e-05 %	0.00615438781916 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_8388608_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	8436314402	3282220594	2112055420	61479070	263349628	95840956	7944	14649	17480	517321551872	-2550755138346	-860120028470	3.04158854645 %	0.728743229217 %	6.65873572409 %	0.000289741788273 %	9.41643426437e-05 %	0.000595612829537 %
InvQuant	691256114	261926622	38245130	2386046	3389764	3997768	72	0	3	1032111935	386110405	49372150	0.98580828068 %	0.345175391823 %	2.46110166955 %	7.56484688115e-06 %	1.04158210744e-05 %	9.9942782091e-07 %
Quant	21323210820	8036962914	4779917634	48829942	468573708	522679076	5553	2959	60353	126545400500	37336427738	16656164892	3.04651418413 %	0.22899901151 %	7.73396288034 %	0.000201712992674 %	2.60420442628e-05 %	0.000493973551231 %
InvTransf	2519619152	1324095108	242653722	8999286	22954860	14715528	1268	351	1000	23740988710	11541935934	1481088734	1.14208202016 %	0.357168502742 %	2.40436675482 %	6.40911443007e-05 %	5.03250659527e-05 %	8.62295202735e-05 %
Transf	15187710668	6526851812	2823208262	106750052	355153028	167779526	10323	2964	363308	729199145290	-366604577587	-181721952118	2.56617690588 %	0.702871251195 %	5.59282560605 %	0.00153475637196 %	6.79694275567e-05 %	0.00391732242468 %
Misc	3841772030	1302195722	712452682	14918352	58096836	26391192	4221	22208	21292	196268055589	-35054245907	-9533199546	1.69739145473 %	0.388319553672 %	4.19368599664 %	0.000814849284436 %	0.000109871173173 %	0.00215918568787 %
Inter/Intra	96958594842	33402322438	16638854430	27110864	463968196	89102358	3839	175798	11459	3327413486283	847936791477	520418211528	0.394681849673 %	0.0279612798063 %	1.10523090905 %	0.000129997480797 %	3.95942206697e-06 %	0.000374205827521 %
Inter	80578428488	41186090300	5709240614	88260420	977524340	420037250	11775	700871	216832	5140337341062	476389733269	-628818620323	1.16559048464 %	0.109533558368 %	2.9801721467 %	0.000729152418788 %	1.46130921401e-05 %	0.00195691763362 %
Intra	2526635200	875606048	446881820	20466764	38023590	22781132	1694	8267	89775	39764318817	8846185781	3516041589	2.11142861801 %	0.810040325568 %	4.59775272585 %	0.00259113564929 %	6.70456898566e-05 %	0.00741345175047 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_8388608_AssLL_1_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	4218157201	1641110297	1056027710	30739535	131674814	47920478	6648	13517	11756	269078020308	-401804178817	-123845228786	3.04158854645 %	0.728743229217 %	6.65873572409 %	0.000461599961243 %	0.00015760436805 %	0.000937030286712 %
InvQuant	345628057	130963311	19122565	1193023	1694882	1998884	36	0	3	344434998	129268429	17123678	0.98580828068 %	0.345175391823 %	2.46110166955 %	7.8674407564e-06 %	1.04158210744e-05 %	1.99885564182e-06 %
Quant	10661605410	4018481457	2389958817	24414971	234286854	261339538	4870	2102	51740	42265660256	13673937797	6930824563	3.04651418413 %	0.22899901151 %	7.73396288034 %	0.000343947527071 %	4.56779238466e-05 %	0.000840173235576 %
InvTransf	1259809576	662047554	121326861	4499643	11477430	7357764	704	192	982	7582800184	3855365231	551719561	1.14208202016 %	0.357168502742 %	2.40436675482 %	9.19153638768e-05 %	5.58814612471e-05 %	0.000149864480831 %
Transf	7593855334	3263425906	1411604131	53375026	177576514	83889763	8010	2282	194223	265796727425	-13666338653	-9334616682	2.56617690588 %	0.702871251195 %	5.59282560605 %	0.00166694034393 %	0.000105480018353 %	0.00420328850178 %
Misc	1920886015	651097861	356226341	7459176	29048418	13195596	3060	19561	15365	67465835988	3785941206	3658545171	1.69739145473 %	0.388319553672 %	4.19368599664 %	0.00129724292947 %	0.000159301487756 %	0.00346720548664 %
Inter/Intra	48479297421	16701161219	8319427215	13555432	231984098	44551179	2788	141642	9725	1086020495148	318435338913	178439442164	0.394681849673 %	0.0279612798063 %	1.10523090905 %	0.000209735019595 %	5.75090842548e-06 %	0.000604969784781 %
Inter	40289214244	20593045150	2854620307	44130210	488762170	210018625	9415	585186	171879	1716212174321	472915277662	-74437715598	1.16559048464 %	0.109533558368 %	2.9801721467 %	0.0012025690677 %	2.33685371548e-05 %	0.00322874360942 %
Intra	1263317600	437803024	223440910	10233382	19011795	11390566	1040	8061	51717	13307781112	3675684618	1620003417	2.11142861801 %	0.810040325568 %	4.59775272585 %	0.0031600964129 %	8.23229249715e-05 %	0.00904023415964 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_1_MSizeLL_16777216_AssLL_1_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	16872628804	6564441188	4224110840	122958140	512109504	205750854	11485	22539	29562	-328018354094	-17463453471583	-6342633116306	3.03970572734 %	0.728743229217 %	6.65390829221 %	0.000229874495909 %	6.80688239717e-05 %	0.000482928569699 %
InvQuant	1382512228	523853244	76490260	4772092	6773502	8038794	132	0	3	3432419402	1275747522	151161424	0.987685976541 %	0.345175391823 %	2.46730345232 %	6.80836219304e-06 %	9.54783598485e-06 %	4.99713910455e-07 %
Quant	42646421640	16073925828	9559835268	97659884	925850622	1034474042	6516	4659	90054	419584525438	99903177776	28009833562	3.01402905724 %	0.22899901151 %	7.64743283929 %	0.000148255315003 %	1.52791248349e-05 %	0.000369485381584 %
InvTransf	5039238304	2648190216	485307444	17998572	44674726	30647064	1988	620	1090	80901506149	36268455467	2966201167	1.14184971117 %	0.357168502742 %	2.40376085042 %	4.52480052737e-05 %	3.94504065907e-05 %	5.45716060946e-05 %
Transf	30375421336	13053703624	5646416524	213500104	723369028	334500340	13639	4039	605349	1835467512819	-3496520875008	-1666141817994	2.5906376854 %	0.702871251195 %	5.65701909735 %	0.00126952649153 %	4.49014347789e-05 %	0.00325873842081 %
Misc	7683544060	2604391444	1424905364	29836704	115181912	50091146	5734	26335	34625	587719081512	-434111834033	-170111580232	1.6657765968 %	0.388319553672 %	4.10178415429 %	0.000569409255633 %	7.46270204898e-05 %	0.00151291907508 %
Inter/Intra	193917189684	66804644876	33277708860	54221728	911664908	174271222	5136	234804	16143	11245082947268	2015428682484	1594249210438	0.387809397503 %	0.0279612798063 %	1.08504255692 %	8.71031964952e-05 %	2.64855323469e-06 %	0.000250740505826 %
Inter	161156856976	82372180600	11418481228	176520840	1657598108	815197826	14966	966402	310168	16754848583925	-4139872672458	-4828220011049	1.03916162292 %	0.109533558368 %	2.63650547486 %	0.000506588966254 %	9.2866045422e-06 %	0.00136108432878 %
Intra	5053270400	1751212096	893763640	40933528	78851772	46651260	2712	8626	165735	126228870004	12193627597	1299593396	2.16200621622 %	0.810040325568 %	4.74495967172 %	0.00230017327157 %	5.36682145487e-05 %	0.00659215877208 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_2_MSizeLL_16777216_AssLL_4_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	126544716030	49233308910	31680831300	922186050	2759703282	1307135700	68875	125330	209115	-1299527058182920	-5382355040519135	-2368147052445550	2.40482624961 %	0.728743229217 %	5.02611653717 %	0.000194409632498 %	5.442740097e-05 %	0.000413333193842 %
InvQuant	10368841710	3928899330	573676950	35790690	28582307	50742016	960	0	5	154799491685	54736218232	-251913501	0.774068841837 %	0.345175391823 %	1.76175411736 %	6.48895754695e-06 %	9.25850762168e-06 %	1.11047535657e-07 %
Quant	319848162300	120554443710	71698764510	732449130	3740849361	5156011177	36852	48395	482017	17958027224286	-5094780683787	-11865594925170	1.88035225491 %	0.22899901151 %	4.62767858096 %	0.000110771818366 %	1.15217169719e-05 %	0.000275892405079 %
InvTransf	37794287280	19861426620	3639805830	134989290	134464261	193719417	13350	4445	7699	3062532002600	533165812607	-1197058409547	0.755639188705 %	0.357168502742 %	1.39645305283 %	4.15919468703e-05 %	3.53227986576e-05 %	5.16738857242e-05 %
Transf	227815660020	97902777180	42348123930	1601250780	3297769924	1886461569	84917	37190	3652552	-325624321268743	-1232253933119340	-632390897045469	1.84354760513 %	0.702871251195 %	3.69639799243 %	0.00102553706276 %	3.727443495e-05 %	0.0026308151825 %
Misc	57626580450	19532935830	10686790230	223775280	639984172	291835027	40374	136745	199537	-22210205274306	-189461393993887	-79787587538017	1.31547304026 %	0.388319553672 %	3.08347996653 %	0.000428767030697 %	7.0061419027e-05 %	0.00111278970343 %
Inter/Intra	1454378922630	501034836570	249582816450	406662960	4298844135	716847886	33305	1111918	96107	503465116042439	-304107543770303	8290179736396	0.245912172421 %	0.0279612798063 %	0.668208641353 %	5.62962325524e-05 %	2.2899809315e-06 %	0.000160937461987 %
Inter	1208676427320	617791354500	85638609210	1323906300	6717021495	5061105278	94988	4964822	1739798	431588610741889	-2346577763485852	-1707774701449240	0.685214647807 %	0.109533558368 %	1.67438513863 %	0.000355608246063 %	7.85884442295e-06 %	0.000953132557027 %
Intra	37899528000	13134090720	6703227300	307001460	398178629	269933644	19160	35158	1177081	135749301392	-8741980643839	-5904405235084	1.68889331548 %	0.810040325568 %	3.36795665788 %	0.00213277843333 %	5.05547193094e-05 %	0.00611090167924 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_32768_AssL1_2_MSizeLL_16777216_AssLL_4_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	202471545648	78773294256	50689330080	1475497680	3379350640	1786682323	108808	256928	998867	-5542488783204235	-19459597127146565	-8956062119694849	2.00085777349 %	0.728743229217 %	3.99036632348 %	0.000411106515508 %	5.37398969578e-05 %	0.000970005827119 %
InvQuant	16590146736	6286238928	917883120	57265104	34383284	69203124	1536	5950	5	383074712072	133132156311	-11557923167	0.676009477157 %	0.345175391823 %	1.43787691699 %	3.14823711037e-05 %	9.25850762168e-06 %	8.26610093544e-05 %
Quant	511757059680	192887109936	114718023216	1171918608	4580642240	6453447948	58672	165595	1889907	42663816558036	-24036062824484	-46323893397931	1.48969636417 %	0.22899901151 %	3.58709559718 %	0.000258026794316 %	1.14648149723e-05 %	0.000668227470373 %
InvTransf	60470859648	31778282592	5823689328	215982864	159218105	281628056	21360	7612	127043	6223174220984	268308566435	-5155896440092	0.669735965097 %	0.357168502742 %	1.17240170792 %	0.000159080754074 %	3.53227986576e-05 %	0.000358106219234 %
Transf	364505056032	156644443488	67756998288	2562001248	4065166421	2557507262	137873	168127	10755283	-1551698754523865	-4364782057759158	-2382909995091373	1.55961514522 %	0.702871251195 %	2.95126164546 %	0.00187827491141 %	3.78247153828e-05 %	0.00486779849254 %
Misc	92202528720	31252697328	17098864368	358040448	823060297	410332009	61363	230425	316316	-144481778149675	-703464218272747	-308458731822251	1.13225644966 %	0.388319553672 %	2.55088411364 %	0.000432647671939 %	6.65524046378e-05 %	0.001130761822 %
Inter/Intra	2327006276208	801655738512	399332506320	650660736	5418279101	908128537	52316	2357831	221670	1220332860922403	-1263709780334238	-59505211548011	0.197763016138 %	0.0279612798063 %	0.52676682434 %	7.45981033787e-05 %	2.24821052418e-06 %	0.000214781536047 %
Inter	1933882283712	988466167200	137021774736	2118250080	8815432458	7152443495	149927	7649201	3339043	463165702654238	-8586204933166383	-6586013052211199	0.591171538553 %	0.109533558368 %	1.41875140177 %	0.000364067444555 %	7.75264354313e-06 %	0.00097630934909 %
Intra	60639244800	21014545152	10725163680	491202336	496151353	358025754	30266	50688	1883670	-10018465413313	-33663629536263	-23241205131043	1.45637008226 %	0.810040325568 %	2.69119389696 %	0.00212670085854 %	4.99115714581e-05 %	0.00609444154084 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_32768_AssL1_4_MSizeLL_8388608_AssLL_4_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	215126017251	83696625147	53857413210	1567716285	3413960338	1829926524	118132	270637	1022281	-6673450273901982	-22861681319343333	-10600527916170817	1.93138314421 %	0.728743229217 %	3.81223766647 %	0.000400093506157 %	5.49129303417e-05 %	0.000939934599844 %
InvQuant	17627030907	6679128861	975250815	60844173	34480699	70759108	1644	5950	5	430354291576	149278645271	-14894940287	0.656941112739 %	0.345175391823 %	1.37489661416 %	3.00576582745e-05 %	9.3265848836e-06 %	7.77985970394e-05 %
Quant	543741875910	204942554307	121887899667	1245163521	4663770829	6607723125	64675	172543	1952621	47588050338946	-28907312967737	-54879398505696	1.43775043673 %	0.22899901151 %	3.44872817602 %	0.000251540156381 %	1.18944305865e-05 %	0.000650234387328 %
InvTransf	64250288376	33764425254	6187669911	229481793	160995766	293961740	23061	8122	127671	6728345594858	133011940223	-6193808599887	0.656836509628 %	0.357168502742 %	1.13875756483 %	0.000152447568474 %	3.58924459063e-05 %	0.000339889558831 %
Transf	387286622034	166434721206	71991810681	2722126326	4101888494	2634892821	152481	174599	11256881	-1886538120187410	-5120190809467821	-2820626183465148	1.51170030256 %	0.702871251195 %	2.8255166326 %	0.00185132131671 %	3.93716155748e-05 %	0.00479455030006 %
Misc	97965186765	33205990911	18167543391	380417976	842296084	426975908	70022	254076	343302	-179520061786776	-829811590739085	-366365392874948	1.1046632489 %	0.388319553672 %	2.47067290434 %	0.000446903519216 %	7.14764114807e-05 %	0.0011628127364 %
Inter/Intra	2472444168471	851759222169	424290787965	691327032	5509195296	921850877	62133	2523634	233491	1365874335125742	-1504942696888389	-80291171380389	0.190006249594 %	0.0279612798063 %	0.503980731314 %	7.52104142536e-05 %	2.51301933497e-06 %	0.000216067158662 %
Inter	2054749926444	1050245302650	145585635657	2250640710	8946251907	7402174966	166597	8301900	3589973	403991366960633	-10130453644427054	-7821838292345653	0.57217673877 %	0.109533558368 %	1.36711857415 %	0.000370963544724 %	8.107896628e-06 %	0.000994444333146 %
Intra	64429197600	22327954224	11395486410	521902482	501052232	366322163	33030	52443	2000102	-13246351058537	-39808639891413	-27594722352379	1.41542489534 %	0.810040325568 %	2.57202224534 %	0.00212482826496 %	5.12655771457e-05 %	0.00608640447538 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_2_MSizeLL_8388608_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	33745257608	13128882376	8448221680	245916280	968058882	409492011	21032	36443	56910	-16341305891422	-125700199004528	-48934417741276	2.93455869231 %	0.728743229217 %	6.38431779086 %	0.000206760876722 %	6.23257947659e-05 %	0.000432648421019 %
InvQuant	2765024456	1047706488	152980520	9544184	11775901	15503299	264	0	5	12299443272	4514980186	448656532	0.928544205353 %	0.345175391823 %	2.27196595101 %	6.78314603677e-06 %	9.54783598485e-06 %	4.16428258712e-07 %
Quant	85292843280	32147851656	19119670536	195319768	1619441373	1950301349	12943	8020	147306	1492643094346	188319919478	-94156383915	2.75706825841 %	0.22899901151 %	6.96297103775 %	0.000123219500342 %	1.51747784483e-05 %	0.000302971537065 %
